2024-08-27T13:46:46.507-0500	INFO	base/material.go:740	Preparing material Material_user_all_e99cb381_4

2024-08-27T13:46:47.243-0500	INFO	base/material.go:822	Running material Material_user_all_e99cb381_4

2024-08-27T13:46:48.377-0500	INFO	base/material.go:881	Material Material_user_all_e99cb381_4 ran in 1.133229833s

2024-08-27T13:46:50.272-0500	INFO	base/material.go:740	Preparing material Material_user_main_id_5f04745a_4

2024-08-27T13:46:51.780-0500	INFO	base/material.go:822	Running material Material_user_main_id_5f04745a_4

2024-08-27T13:46:56.755-0500	INFO	base/material.go:881	Material Material_user_main_id_5f04745a_4 ran in 4.974761542s

2024-08-27T13:46:58.258-0500	INFO	base/material.go:740	Preparing material Material_user_var_table_9f95e1be_4

2024-08-27T13:46:58.818-0500	INFO	base/material.go:822	Running material Material_user_var_table_9f95e1be_4

2024-08-27T13:47:00.502-0500	INFO	base/material.go:881	Material Material_user_var_table_9f95e1be_4 ran in 1.682550333s

2024-08-27T13:47:02.743-0500	INFO	base/material.go:740	Preparing material Material_last_seen_7b92241d_4

2024-08-27T13:47:04.712-0500	INFO	base/material.go:822	Running material Material_last_seen_7b92241d_4

2024-08-27T13:47:09.266-0500	INFO	base/material.go:881	Material Material_last_seen_7b92241d_4 ran in 4.553699875s

2024-08-27T13:47:10.856-0500	INFO	base/material.go:740	Preparing material Material_first_seen_8ee49199_4

2024-08-27T13:47:13.313-0500	INFO	base/material.go:822	Running material Material_first_seen_8ee49199_4

2024-08-27T13:47:18.260-0500	INFO	base/material.go:881	Material Material_first_seen_8ee49199_4 ran in 4.946848s

2024-08-27T13:47:20.437-0500	INFO	base/material.go:740	Preparing material Material_days_active_74aa05e9_4

2024-08-27T13:47:22.222-0500	INFO	base/material.go:822	Running material Material_days_active_74aa05e9_4

2024-08-27T13:47:26.933-0500	INFO	base/material.go:881	Material Material_days_active_74aa05e9_4 ran in 4.710958541s

2024-08-27T13:47:28.569-0500	INFO	base/material.go:740	Preparing material Material_user_lifespan_5b965bef_4

2024-08-27T13:47:30.218-0500	INFO	base/material.go:822	Running material Material_user_lifespan_5b965bef_4

2024-08-27T13:47:34.798-0500	INFO	base/material.go:881	Material Material_user_lifespan_5b965bef_4 ran in 4.579785875s

2024-08-27T22:03:00.940-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:03:00.965-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:03:01.007-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:03:07.946-0500	INFO	core/projectLoad.go:695	If this run gets interrupted, then in the future, you can resume via CLI commands(run, compile etc.) by passing '--seq_no 5'.

2024-08-27T22:03:09.252-0500	INFO	retention/cleanup.go:123	get material run results to purge for retentionConfig {srcUrl: , targetSchema: CHANDU2, rule: {value: 1, unit: hour}}

2024-08-27T22:03:10.206-0500	INFO	retention/cleanup.go:140	18 material run results found

2024-08-27T22:03:10.206-0500	INFO	retention/cleanup.go:154	18 model run results found to be cleaned for retention config {srcUrl: , targetSchema: CHANDU2, rule: {value: 1, unit: hour}}

2024-08-27T22:03:30.305-0500	INFO	retention/cleanup.go:123	get material run results to purge for retentionConfig {srcUrl: , targetSchema: CHANDU2, rule: {value: 1, unit: hour}}

2024-08-27T22:03:30.423-0500	INFO	retention/cleanup.go:140	18 material run results found

2024-08-27T22:03:30.423-0500	INFO	retention/cleanup.go:154	18 model run results found to be cleaned for retention config {srcUrl: , targetSchema: CHANDU2, rule: {value: 1, unit: hour}}

2024-08-27T22:03:30.423-0500	INFO	retention/cleanup.go:84	starting to run purge

2024-08-27T22:03:30.541-0500	INFO	retention/cleanup.go:200	deleted &{table MATERIAL_RSTRACKS_VAR_TABLE_E3351B8C_4 }

2024-08-27T22:03:31.100-0500	INFO	retention/cleanup.go:200	deleted &{table MATERIAL_RSTRACKS_VAR_TABLE_E3351B8C_4 }

2024-08-27T22:03:31.528-0500	INFO	retention/cleanup.go:200	deleted &{view MATERIAL_USER_DEFAULT_ID_STITCHER_1551CC21_4 }

2024-08-27T22:03:31.682-0500	INFO	retention/cleanup.go:200	deleted &{table MATERIAL_USER_DEFAULT_ID_STITCHER_1551CC21_4_INTERNAL_EDGES }

2024-08-27T22:03:31.808-0500	INFO	retention/cleanup.go:200	deleted &{table MATERIAL_USER_DEFAULT_ID_STITCHER_1551CC21_4_INTERNAL_MAPPING }

2024-08-27T22:03:32.558-0500	INFO	retention/cleanup.go:200	deleted &{view MATERIAL_USER_DEFAULT_ID_STITCHER_1551CC21_4 }

2024-08-27T22:03:32.647-0500	INFO	retention/cleanup.go:200	deleted &{table MATERIAL_USER_DEFAULT_ID_STITCHER_1551CC21_4_INTERNAL_EDGES }

2024-08-27T22:03:32.729-0500	INFO	retention/cleanup.go:200	deleted &{table MATERIAL_USER_DEFAULT_ID_STITCHER_1551CC21_4_INTERNAL_MAPPING }

2024-08-27T22:03:33.134-0500	INFO	retention/cleanup.go:200	deleted &{view MATERIAL_USER_ALL_E99CB381_4 }

